pagina	texto
1	LA ATALAYA ANUNCIANDO EL REINO DE JEHOVÁ 2022, NÚMERO 1 ROMPAMOS EL CICLO DEL ODIO
2	Índice 3 ¡Podemos vencer el odio! 4 6 14 16 ¿Por qué hay tanto odio? Cómo romper el ciclo del odio - Sea imparcial No se vengue - Arranque el odio de su mente - Busque la ayuda de Dios ¡El odio desaparecerá para siempre! Víctimas del odio por todas partes ¿Le parece a usted que el mundo está plagado de odio? Muchas personas demuestran ese odio de formas muy crueles. Por ejemplo, discriminan, acosan, insultan o agreden a otros. ¿Es posible vencer el odio? Esta revista le mostrará que la Biblia puede ayudarnos a romper el ciclo del odio y que Dios pronto acabará con él para siempre. LA ATALAYA ANUNCIANDO EL REINO DE JEHOVÁ Vol. 143, núm. 5 2022 ESPAÑOL Ejemplares en distintos formatos: 36.300.000 Disponible en 419 IDIOMAS LA ATALAYA es una revista que tiene como propósito honrar a Jehová, el Dios Soberano del universo. Consuela a la gente anunciando que el Reino de Dios -un gobierno que se halla en los cielos- pronto acabará con la maldad y transfor- mará la Tierra en un paraíso. Además, promueve la fe en el Rey reinante de dicho gobierno, Jesucristo, quien murió para que pudiéramos alcanzar la vida eterna. Esta publicación, editada sin in- terrupción desde 1879, es políticamente neutral y reconoce la Biblia como máxima autoridad. The Watchtower (ISSN 0043-1087) MayJune 2022 is published by Watchtower Bible and Tract Society of New York, Inc.; Harold L. Corkern, President; Mark L. Questell, Secretary-Treasurer; 1000 Red Mills Road, Wallkill, NY 12589-3299. La Atalaya (mayo y junio de 2022) es una publicación editada en España por Testigos Cristianos de Jehová, Ctra. Torrejón-Ajalvir, km 5, 28864 Ajalvir (Madrid).  2022 Watch Tower Bible and Tract Society of Pennsylvania. Hecho en España. ESPAÑA: Testigos Cristianos de Jehová Ctra. Torrejón-Ajalvir, km 5 28864 Ajalvir (Madrid) ALEMANIA: Testigos de Jehová, 65617 Selters. Encontrará la lista completa de direcciones en www.jw.orgesdatos-de-contacto. Los datos personales que nos suministre para el envío de la publicación mencionada en la pági- na 16 no pasarán a formar parte de ningún fichero de datos. Serán utilizados exclusivamente para ha- cerle llegar la publicación que nos ha solicitado. JW .ORG ¿Le gustaría que lo visitaran Vaya a www.jw.org o recibir clases de la Biblia? o escriba a una de las direcciones indicadas arriba. Esta publicación se distribuye como parte de una obra mundial de educación bíblica que se sostiene con donativos. Prohibida su venta. Si desea hacer un donativo, visite donate.jw.org. A menos que se indique lo contrario, las citas bíblicas se han tomado de la versión en lenguaje moderno La Biblia. Traducción del Nuevo Mundo.
3	¡Podemos vencer el odio! ¿Ha sido usted víctima del odio? Si usted no lo ha sufrido, es posible que lo haya visto de una u otra forma a su alrededor. En los medios vemos muchas noticias de personas que son víctimas del odio por su origen, su raza o su orientación sexual. Por eso muchos gobiernos aprueban leyes para luchar contra los delitos provocados por el odio. Por lo general, el odio provoca más odio. Las víctimas del odio suelen vengarse, y así alimen- tan un interminable ciclo de odio. Tal vez usted mismo haya sufrido los prejui- cios, las burlas, los insultos y las amenazas de otras personas. Pero el odio va más allá. Con frecuencia, termina en ataques crueles, acoso, vandalismo, agresiones físicas, violaciones, ase- sinatos y hasta genocidios. Esta revista explicará que sí se puede vencer el odio y contestará las siguientes preguntas: ¿Por qué hay tanto odio?  ¿Cómo podemos romper el ciclo del odio?  ¿Desaparecerá el odio algún día? LA ATALAYA 2022, NÚMERO 1 3
4	4 ¿Por qué hay tanto odio? El mundo está atrapado en un círculo vicioso de odio. ¿A qué se debe? Para saberlo, necesitamos entender qué es el odio, por qué nace el odio en la gente y cómo se propaga. ¿Qué es el odio? El odio es un sentimiento muy fuerte de desprecio o rechazo hacia una persona o un grupo de personas. Es mucho más que un sentimiento pasajero de antipatía. ¿POR QUÉ NACE EL ODIO EN LA GENTE? El odio nace en las personas por muchas ra- zones. Con frecuencia, odian a los demás no necesariamente por lo que hacen, sino por quiénes son. Tal vez los vean como personas malas y peligrosas, o piensen que no tienen remedio. O quizás consideren que son infe- riores, una amenaza o el origen de muchos problemas. Además, muchos sienten odio porque en algún momento de sus vidas fue- ron víctimas de la violencia, de alguna injus- ticia o de otras situaciones trágicas. ¿CÓMO SE PROPAGA EL ODIO? A veces, las personas odian a alguien que ni siquiera conocen. Por ejemplo, una perso- na podría ir aceptando sin darse cuenta los puntos de vista distorsionados de alguien a quien respeta o a quien quiere. Así, cuando muchos empiezan a pensar igual, el odio se propaga rápidamente. Cuando entendemos lo rápido que se ex- tiende el odio, comprendemos por qué lo sienten tantas personas. Pero, para romper el ciclo del odio, hay que llegar a la raíz del problema. La Biblia explica cuál es. LA ATALAYA 2022, NÚMERO 1
5	"ODIO INFORMACIÓN FALSA Presión de grupo Redes sociales Medios de comunicación Cómo funciona el ciclo del odio Prejuicios Discriminación Violencia MIEDO A los cambios A perder algo A lo desconocido DESCONOCIMIENTO Sobre una cultura Sobre una raza Sobre una religión LA BIBLIA EXPLICA LA RAÍZ DEL PROBLEMA LOS HUMANOS NO FUERON LOS PRIMEROS EN ODIAR. El odio comenzó en el cielo con un ángel que se rebeló contra Dios y al que se conoce como Satanás, el Diablo. Cuando co- menzó su rebelión, se convirtió en un asesi- no. Como ""es un mentiroso y el padre de la mentira"", no ha dejado de generar odio y vio- lencia (Juan 8:44; 1 Juan 3:11, 12). La Biblia enseña que es cruel, violento y que está lleno de furia (Job 2:7; Apocalipsis 12:9, 12, 17). LOS SERES HUMANOS HEMOS HEREDADO LA TENDENCIA A ODIAR. El primer hombre, Adán, siguió los pasos de Satanás, y como re- sultado todos los seres humanos hemos here- dado el pecado y la imperfección (Romanos 5:12). Caín, el hijo mayor de Adán, odiaba a Abel y, aunque era su hermano, lo ase- sinó (1 Juan 3:12). Aunque es cierto que los humanos amamos y sentimos compasión, como todos hemos heredado el pecado, es fácil que muchísimas personas sean egoístas, envidiosas y orgullosas, actitudes que avivan el fuego del odio (2 Timoteo 3:1-5). LA INTOLERANCIA LLEVA AL ODIO. El mun- do promueve actitudes y comportamien- tos crueles y despiadados que generan odio. Como ""el mundo entero está bajo el poder del Maligno"" es decir, de Satanás, el Dia- blo-la intolerancia, los prejuicios, los insul- tos, el acoso y el vandalismo son el pan de cada día (1 Juan 5:19). Pero, además de explicar cuál es la raíz del problema, la Biblia nos dice cuál es la solu- ción. LA ATALAYA 2022, NÚMERO 1 5"
6	"6 Cómo romper el ciclo del odio La Palabra de Dios, la Biblia, tiene el poder de hacernos mejores personas (Hebreos 4:12). Lo que enseña ha logrado que muchísimas personas dejen de sentir odio. Veamos cuatro enseñanzas bíblicas que han ayudado a muchos a romper el ciclo del odio. 1 SEA IMPARCIAL La Biblia dice: Dios no es parcial, sino que acepta a los que le temen y hacen lo que está bien, sea cual sea su nación"" (HECHOS 10:34, 35). ¿Qué significa? Jehová Dios no nos juzga por nuestra nacionalidad, raza, color de piel o cultura. Más bien, se fija en lo que de verdad importa, es decir, en lo que pensamos y sentimos. La Biblia explica: ""El hombre ve lo que tiene ante los ojos, pero Jehová ve el corazón"" (1 Samuel 16:7). Intente hacer esto: Aunque no podemos ver el corazón de nadie, sí podemos ser imparciales como Jehová. Esfuércese por no generalizar y por ver a las personas como individuos. Si se da cuenta de que tiene sentimientos negativos hacia otras personas, tal vez por su raza o su país de origen, pídale a Dios que le dé las fuerzas para ser imparcial y arrancar esos sentimientos de raíz (Salmo 139:23, 24). No le quepa la menor duda de que él lo ayudará a lograrlo (1 Pedro 3:12).  Jehová es el nombre de Dios (Salmo 83:18). LA ATALAYA 2022, NÚMERO 1"
7	"Ejemplo de la vida real TITUS Escapó de las garras del odio ""Nunca me había sentado pacíficamente con una persona blanca .... Ahora pertenecía a una auténtica hermandad internacional"" (TITUS). Titus pertenecía a una pandilla violenta a la que le indignaban las leyes que oprimían y discrimi- naban a personas de ciertas razas. Él cuenta: ""ĺbamos a lugares donde los negros no eran bien recibidos como hoteles y bares- solo para provocar peleas. Titus reconoce que el odio lo cegaba. Dice: ""Siempre que discutía con alguien, fuera hombre o mujer, era yo quien daba el primer golpe"". Cuando Titus empezó a estudiar la Biblia con los testigos de Jehová, su vida comenzó a cam- biar. Leer la Biblia influyó muchísimo en él. Algo que le tocó el corazón fue aprender lo que pasará en la Tierra en el futuro: La muerte ya no existirá, ni habrá más tristeza ni llanto ni dolor"" (Apocalip- sis 21: 3, 4). Al principio, le costó mucho trabajo liberarse del odio. Reconoce: ""Cambiar mi modo de pensar y actuar no fue nada fácil. Pero le ayudó mucho lo que aprendió en Hechos 10:34, 35, que Dios es imparcial. ¿Cómo acabó todo? Titus nos lo cuenta: ""Cuando vi el amor que los testigos de Jehová se muestran entre sí prescindiendo de su raza o color, quedé convencido de que practican la reli- gión verdadera. Incluso antes de bautizarme, un Testigo blanco me invitó a comer a su casa. Fue como un sueño, pues nunca me había sentado pacíficamente con una persona blanca, y mucho menos para comer en su hogar. Ahora pertenecía a una auténtica hermandad internacional"". LA ATALAYA 2022, NÚMERO 1 Encontrará más detalles de esta historia en La Atalaya del 1 de agosto de 2009, páginas 28 y 29, disponible en jw.org. 7"
8	"8 2 NO SE VENGUE La Biblia dice: ""No devuelvan mal por mal a nadie .... Si es posible, hasta donde dependa de ustedes, vivan en paz con todos. Amados, no se venguen .... Porque está escrito: 'Mía es la venganza; yo les daré su merecido', dice Jehová"" (ROMANOS 12:17-19). ¿Qué significa? Es normal que nos sintamos enojados cuando alguien nos hace daño, pero Dios no quiere que nos venguemos. Más bien, nos anima a esperar a que él actúe, porque ha prometido que pronto corregirá todas las injusticias (Salmo 37:7, 10). Al final, vengarnos solo nos hace daño LA ATALAYA 2022, NÚMERO 1"
9	"Intente hacer esto: Cuando nos vengamos, solo consegui- mos que el ciclo del odio continúe. Así que, si alguien lo ha ofendido o le ha hecho daño, no le pague con la misma moneda. Contrólese y actúe con calma. A veces, lo mejor es dejarlo pasar (Pro- verbios 19:11). En otras ocasiones, puede ser conveniente hacerle frente al proble- ma. Por ejemplo, si usted ha sido víctima de un delito, quizás decida denunciarlo a la policía o a otras autoridades. ¿Y si parece que no es posible resolver el problema de manera pacífica? ¿O si ya ha hecho todo lo que está en su mano para resolver el asunto con calma? Aun así, no se vengue, pues eso seguramente empeorará las cosas. Rompa el ciclo del odio. Aprenda a confiar en que Dios arreglará la situación. En Salmo 37:3-5 leemos: ""Confía en él, y él actuará a tu favor"". Ejemplo de la vida real ADRIÁN Controló sus deseos de venganza Cuando era adolescente, Adrián era un pandillero lleno de odio y con sed de venganza. Él cuenta: Con frecuencia, me vi envuelto en tiroteos y va- rias veces terminé tirado en la calle, todo ensan- grentado, porque me daban por muerto"". A los 16 años, Adrián empezó a estudiar la Biblia. Él recuerda: ""A medida que estudiaba la Biblia, me iba dando cuenta de que debía cambiar mi forma de ser. Adrián tenía que dejar atrás el odio y la violencia. Un pasaje que le impactó mu- cho fue Romanos 12:17-19, que habla de no ven- garse. Él dice: ""Me ayudó a ver que es Jehová quien se encargará de resolver las injusticias a su manera y cuando lo considere oportuno. Con el tiempo, fui dejando mi estilo de vida violento"". Una noche, lo atacó una banda rival de la pan- dilla a la que había pertenecido. El cabecilla le gri- tó: ""¡Defiéndete!"". Adrián reconoce que tuvo ga- nas de defenderse. Pero, en vez de hacerlo, le hizo una breve oración a Jehová y logró escapar. Adrián sigue diciendo: Al día siguiente, me encontré con el cabecilla del grupo, pero en esta ocasión él iba solo. Sentí que me hervía la sangre; quería vengarme. Nuevamente, oré a Jehová en silencio y le pedí que me ayudara a controlarme. Me quedé sorprendido cuando el joven se acercó y me dijo: 'Perdóname por lo de anoche. La ver- dad es que me gustaría ser como tú. Quiero estu- diar la Biblia'. ¡Menos mal que había podido con- trolar mi enojo! Gracias a eso, él también empezó a estudiar"". LA ATALAYA 2022, NÚMERO 1 Encontrará más detalles de esta historia en La Atalaya, número 5 del 2016, páginas 14 y 15, disponible en jw.org."
10	"10 3 ARRANQUE EL ODIO DE SU MENTE La Biblia dice: ""Transfórmense renovando su mente, para que comprueben por ustedes mismos cuál es la buena, agradable y perfecta voluntad de Dios"" (ROMANOS 12:2). ¿Qué significa? A Dios le importa lo que pensamos (Jeremías 17:10). Es cierto que debemos cuidar lo que decimos y hacemos, pero esto no es suficien- te. Como el ciclo del odio comienza en la mente y el corazón, debemos arrancar cualquier rastro de odio que pudiera haber en nuestros pensamientos y sentimientos. Solo así podremos transformarnos de verdad y romper el ciclo del odio. Intente hacer esto: Sea sincero con usted mismo y analice qué siente por los demás y qué piensa de ellos, especialmente si son de otra raza o nacionalidad. Pregúntese: ""¿Cómo los veo? ¿Tengo una opinión basada en lo que per- sonalmente sé de ellos, o estoy influenciado por prejuicios?"". Evite redes sociales, películas o entre- tenimiento que alimenten el odio y la violencia. No siempre es fácil ser sinceros a la hora de exa- minar lo que pensamos y lo que sentimos. Pero la Palabra de Dios nos ayuda porque ""es capaz de reve- lar los pensamientos y las intenciones del corazón"" (Hebreos 4:12). Así que descubra lo que dice la Biblia y compare sus enseñanzas con lo que usted piensa. Entonces esfuércese por adaptar lo que usted piensa a lo que la Biblia enseña. La Palabra de Dios puede ""derrumbar cosas fuertemente atrincheradas"" en nuestra mente y corazón, como el odio (2 Corintios 10:4, 5). LA ATALAYA 2022, NÚMERO 1"
