pagina	texto
1	¡Rikch'ariy! ENERO-FEBRERO 2013 MEG Ryan and Alica ON BOAT ACE Counters... Wawaykita yachachiy hukkunapi interesakuyta
2	"QALLARIYPI KAQ ¡Rikch'ariy! KAYKUNAN KASHAN JW. ORG TM INTERNETPI ASTAWAN YACHAY www.jw.orges WAYNA-SIPASKUNA Wawaykita yachachiy hukkunapi interesakuyta 8-11 PAGINAKUNAPI WAYNA-SIPASKUNAQ TAPUKUSQAN ¿IMATAN RUWAYMAN MILLAYKUNATA NIWAQTINKU? Coretta nin: ""13, 14 watayoq kashaqtiymi escuelapi waynakuna qhepaymanta sostenniyta chuta- waqku. Hinaspan kay qhelli simiku- nata niwaqku: 'Ñoqawan puñunki chayqa ancha kusisqan kanki"""", nispa. ¿lmatan qan ruwawaq chhaynapi tarikuspa? Imachus ruwanaykita yachaspaqa ati- pankin chaykunata. 3 PACHANTINMANTA WILLAKUYKUNA 4 FAMILIAKUNAPAQ YANAPAYKUNA ¿lmaynatan wayna wawaykiwan parlariwaq? 6 TAPUSUN Cienciamanta iñiyninmantawan willan 12 HUK LLAQTAKUNA Camerún nacionta visitasun 14 ¿IMA NINMI BIBLIA? Paraíso 16 ¿KIKILLANMANTACHU PAQARIMURQAN? Aguja colipinta, ¿imaynapin karuta phalan? WAWAKUNAPAQ DIBUJOPI RUWANAPAQ Kay dibujota Internetmanta horqoy, chaytataq wawaykikunawan ruway. Bibliapi kaq runakunamanta yacha- chiy, yanapaytaq Bibliapi kamachi- kuykunata reqsinanpaq. Vol. 94, No. 1  Bimonthly edition  QHECHUA (CUZCO) Sapa kutin ruwakun: 43.524.000 revistakunata 98 rimaykunapi Kay qelqataqa donacionkunawanmi ruwakun Bibliamanta teqsimuyuntinpi yachachinapaq, manan vendenapaqchu. Kay revistapi textokunaqa Diospa Simin Qelqa, edición 2004 Bibliamantan. Textokunaqa kallanmantaqmi kay Bibliakunamanta: Diospa Simin Qelqa, edición 1988 (Edición 1988), Traducción del Nuevo Mundo de las Santas Escrituras (con referencias) (NM), español simipi. ¡Rikch'ariy! es publicada mensualmente por Watchtower Bible and Tract Society of New York, Inc.; L. Weaver, Jr., presidente; G. F. Simonis, secretario tesorero; 25 Columbia Heights, Brooklyn, NY 11201-2483 y en Colombia por la Iglesia Cristiana de los Testigos de Jehová, Apartado Postal 85058, Bogotá, Colombia.  2013 Watch Tower Bible and Tract Society of Pennsylvania. Todos los derechos reservados. Impreso en Colombia. ¿Astawan yachayta munawaqchu otaq Bibliamanta gratislla yachaytapas? Maskhay WWW.JW.ORGQUZ otaq mañakusqaykita apachiy uraypi kaq direccionman: ASOCIACIÓN DE LOS TESTIGOS DE JEHOVÁ: PERÚ nacionpi: Jr. El Cortijo 329, Monterrico Chico-Santiago de Surco, Lima 33, Lima-Perú. Huk nacion kunapi direccionta yachanaykipaq, maskhay www.jw.orgcontact."
3	"Kay fotokunatan horqorqanku: Wichaypi: John Kepsimells, U.S Coast Guard; chawpipi: STRI; uraypitaq: IlukeeAlamy PACHANTINMANTA WILLAKUYKUNA  MÉXICO 2010 watapi abril killapin lamar-qocha ukhumanta petroleota horqoshaqtinku kinsa killa hunt'a sinchi askha petróleo, gas ima qochaman hich'akurgan. Iskay killa kuskan qhepamanmi investigaqkuna repararqanku unuta qhellichaq metano nisqa chinkapus- qanta. Chaymi nirqanku chaykunataqa mana rikuna kuruchakuna misk'illikuspa mikhupus- qanta. Chaymanta yachaq wakin runakunan ichaqa mana chayta creenkuchu, ninkutaqmi petroleoqa unuman chinkayapusqanta. RUSIA Rusia nacionmanta runakunata tapuqtinkun yachakurqan sapa 100 runakunamanta 59 runakuna 18-35 watayoqkuna, allin kaqta yacha- shaspa munasqankuta aypanan- kurayku mayninqa mana allinkuna ruwasqankuta"" (periodico Rossiis- kaya Gazeta). PERÚ Nawpa tiempo choqllota tarisqankun (kay hawapi kas- qan hina) rikuchin, 3.000 wata nawpaqmantaña Perú nacionpi saramanta hank'ata, hak'uta ima ruwakusqanta. SUDÁFRICA Pakallapi hampipaq vendesqanku rinoceronteq waqranmi astawan valepushan, kunanga huk kilollan 65.000 dólares valen. Chaymi 2011 watapi Sudáfrica ladollapi 448 rinoce- rontekunata wañuchirqanku. Hinaspapas suwakunan mu- seokunaman, imaymana vendenanku wasikunaman ima haykurqanku waqrakunata maskhaspa. Chaysi Zoológico nisqakunapi kaq rinocerontekunata allinta cuidashanku. ITALIA Adria-Rovigo nisqamanta obispo católico Lucio Soravito De Franceschi nin, runakunaq tiyasqan- ta rispa ""kikin runakuna- wan"" Diosmanta rimana kasqanta. ""Pastorkunaqa iglesiapi campanata tocananchismantaqa runakunaq punkuntan takananchis"", nispa."
4	"FAMILIAKUNAPAQ YANAPAYKUNA WAWAKUNATA UYWASPA ¿lmaynatan wayna wawaykiwan parlariwaq? SASACHAKUYKUNA Wawallaraq kashaspaqa Iliwtan willaq kasunki, way- na kapuspan ichaqa mana- ña imatapas willasunkichu. Paywan rimayta munaqtiy- kin, ""ari"", ""manan"" nispalla kutichisunku otaq phiñakus- pa wasiykipi ch'aqwata ha- tarichin. Ichaqa ama pisi kallpa- yaychu, atillankin wayna wawaykiwan parlariyta. Chaypaqqa nawpaqtan entiendenayki imarayku wawakuna chhaynaman tukupusqankuta. Kay temapi waynakunallamanta rimashan chaypas, sipaskunatapas yanapanqan. ¿IMARAYKUN CAMBIANKU? Paykunallamanta ruwayta munasqankurayku. Huk wayna allin poqosqa runaman tukupunanpaqqa pasaje- ro hina kasqanmantan pisi-pisimanta choferman hina tukupunqa, millay carreterakunapitaq manejanan kan- qa. Chaymi wakin waynakuna paykunallamantaña imata- pas ruwayta munanku, wakin tayta-mamakunataq nishu- ta hark'apunku. Chhaynata mana entiendenakuqtinkun ch'aqwaykuna hatarin. Chaymanta quejakuspan 16 wata- yoq Braulio nin: Tayta-mamayqa ima ruway munasqay- tapas nishutan harkakuwan, 18 watayoq kaqtiy hinallata hark'akuwanqaku chayqa wasiymantan ripusaq"", nispa. Huk hinataña yuyaykusqankurayku. Huch'uy wawakuna- qa manan sasapaqchu imatapas qhawarinku, paykuna- paqqa tukuypas yanawan yuraqwan kanman hinallan. Waynakunan ichaqa sasa entiendena kaqkunapi yuyay- kunku, chaytaqmi yanapanqa allin yuyayniyoq waynaman tukupunanpaq. Rikusunchis imaynas chay kasqanta. Wa- wakunaqa manan imamantapas sasachakunkuchu, huk maman galletata iskayman p'akispa hukta huk wawan- man qon huktataq wawqechanman, chaytan paykunaqa chaninpaq qhawarinku. Waynakunan ichaqa huk hina- mantaña imachus chanin kay kasqanta qhawarinku. Allin reparaq kaymi yanapanqa chhayna sasa entiendena kaq- kunata entiendenanpaq. Ichaqa chay reparaq kasqanmi tanqaykunman qankuna contra hatarinanpaq.  Sutikunan cambiakun. Familiapaq huk yanapaykunata maskhay www.jw.orges"
5	"KAYTAN RUWAWAQ Atikusqanman hina rimapayay. Familia ukhupi thak kay kashaqtinmi rimawaqchis. Wakin tayta-mamakuna- qa uya-uyapura wawankuwan parlarinankumantaqa wasi- pi ruwanakunata kuska ruwaspa, carropi viajashaspan parlarinku, chaymi paykunataqa yanapan (Bibliaq yacha- chikuynin: Deuteronomio 6:6, 7). Imachus ninallaykita niy. Yuyaymanachiyta munaspaqa ama ch'aqwata hatarichinaykikamachu rimapayay. Ima- chus ninallaykita nispa upallapuy. Chay qhepamanñan sapallan kashaspa nisqaykita yuyarispa chaykunapi yu- yaymananqa, chaypaqqa tiempotan qonayki (Bibliaq ya- chachikuynin: Proverbios 1:1-4). Uyariq kay amataq sinchita hark'aychu. Imachus yuyay- kusqanta allinta entiendenaykipaqqa makilla uyariy. Ri- manaykipaq tupasuqtiykitaq ama sinchita imatapas har- k'akuspalla kutichiy. Sichus sasa kamachikuykunata chu- ranki chayqa pakallapin imatapas ruwayta qallarinqa. Huk qelqan nin: Chaymi waynakuna pakallapi huk hina- manta kawsapunku. Tayta-mamakuna imatachus uyariy- ta munanku chayllatan willanku sapanku kaspataq tukuy munasqankuta ruwanku"", nispa (Sapakutilla wayna wa- waykiwan parlay, inglés simipi). (Bibliaq yachachikuynin: Filipenses 4:5.) Ama usqhayllaqa phiñakuychu. Kari sutiyoq sipasmi wi- llakun: ""Mamaywan rimayta mana tupachiqtiykuqa sien- tekunmi ima nisqaywanpas, chaymi ñoqapas phiñakulla- nitaq chay qhepamantaq ch'aqwa hatarin"", nispa. Us- qhaylla phiñakunaykimantaqa wawaykipi interesakus- qaykita rikuchiy. ""¡Chaymantachu llakikunki!"", nispa ni- naykimantaqa niwaqmi: Entiendenin imayna sientekus- qaykita"", nispa (Bibliaq yachachikuynin: Proverbios 10:19). Yanapay sasachakuyninta allichananpaq. Waynakuna reparaq kayta yachayninkuqa cuerponchis kallpayoq ka- nanpaq ejercicio ruwaymanmi rikch'akun. Wawayki ima sasachakuypipas tarikuqtinqa pay kikinmi allichanan, manan qanchu paypa rantinpi ""ejerciciota ruwanayki"". Chay sasachakuymanta wawaykiwan parlarispa yanapay pay kikinmanta imayna allichayta qhawarinanpaq. Imaku- nachus ruway atikusqanta qhawariqtintaq niwaq: ""Iskay p'unchayta hina chaykunapi yuyaykuy chay qhepamantaq rimasun imachus decidesqaykimanta"", nispa (Bibliaq ya- chachikuynin: Hebreos 5:14).  YANAPAQ TEXTOKUNA ""Llapaykichis usqhaylla uyariq kaychis, ichaqa allin yuyaywan rimaychis, amataq usqhayllachu phiñakuychis."" (Santiago 1:19) ""Llamp'u simiwan kutichikuqqa phiñakuytan thasnun."" (Proverbios 15:1) ""Wawaykichista ama phiña- chiychischu aswanpas kasu- chikuspa uywaychis, Señor- manta yachachispa."" (Efesios 6:4) WAYNA-SIPAS KUNAPAQ ¿Munankichu tayta-mamayki ima ruwanaykipaqpas permiso qonasuykita? ¿Astawan en- tiendenasuykitachu munanki? Qanmantan chayqa kanqa. Chaypaqqa sonqoykita kicha- rispan willanayki imakuna su- cedesqasuykita. Sichus mana llapantachu willanki chayqa manan qanpi confianqakuchu, confianza mana kaqtinqa ma- nan ima ruwanaykipaqpas permisota qosunkikuchu. Ama ch'inllaqa uyariychu rimasqankuta. Qanpas imata- chus p'unchaypi ruwarqanki chaykunata willay, tapuytaq paykunatapas imatachus ru- wasqankumanta. Imamanta- pas quejakuyta munanki chayqa respetowan rimariy. Poqosqa runa kapuqtiykin allin rimaq kayta necesitanki, ¿manachu kunanmantapacha chaypaq kallpachakuwaq? ¡Rikch'ariy! Enero - Febrero 2013 5"
6	"I TAPUSUN  PAOLA CHIOZZI ELET HAL 100 Cienciamanta iñiyninmantawan willan Paola Chiozzi doctoran 20 wata masña Italia nacionpi Universidad de Ferrara nisqapi llank'an imayna kawsay kas- qanta investigaspa. Chaymi ¡Rikch'ariy! revistata qelqaqkuna tapurqanku estudiasqanmanta iñiyninmantawan. Willariwayku imayna uywasqa kasqaykimanta. Taytayqa zapateron karqan ma- maytaq chakrapi llankaq, ñoqa- taqmi científica kayta munarqa- ni. Maytan kusikuq kani sumaq t'ikakunata, phalaq animalku- nata, kurukunatapas wasiypa qayllanpi rikuspa. Niqmi kani: ""Kaykunaqa ancha yachayni- yoqpa ruwasqanchá"", nispa. Chhaynaqa, huch'uychay- kimantapachachu Diospi iñirqanki? Manan. Erqellaraq kashaqtiymi taytaypa sonqon sayarapuqtin qonqaylla wanupurqan, chaymi tapukuq kani: ""¿lmaraykun tu- kuytapas sumaqta Kamaq Dios hinallata qhawan ñak'ariy- pas wañuypas kananta?"" nispa. Chaymi Diosmanta iskayarqani. ¿Yanaparqasunkichu chaykunapi ciencia nisqata estudiasqayki? Qallariypiqa manan. Biología molecular nisqata estudiasqay qhepamanmi celulaq wañus- qanmanta estudiarqani, ichaqa manan qonqaylla wañupuspa inflamación otaq gangrena on- qoykuna hatarichiqmantachu, aswanpas tiempollanpi celula- kunaq wañusqanmantan. Chay- qa allinmi kawsayninchispaq, chaywanpas qayna watakuna- kamallan cientificokuna pisipaq qhawariqku chay estudiayta. ¿lmaynapin tiempollanpi celulakunaq wañusqan allinninchispaq? Cuerponchispin kan sinchi as- kha mana rikuna celulakuna. Llapallanmi wañupun sapan- kaq rantinpitaq hukkuna rikhu- rimun. Sapanka t'aqa celulaku- naqa manan kaq tiempollapi- chu wañun, wakinqa askha se- manakunan kawsan wakintaq askha watakuna. Celulakunaq wañusqanqa allin controlasqan kanan, chhaynapi tiempollanpi wañuqtin mosoq celulakuna rikhurimunanpaq. ¿lmallapas mana allinta funcionanman chayri? Estudiokuna ruwakusqanpin yachakun celulakuna wañunan tiempopi mana wañuqtinqa ar- tritis reumatoide otaq cáncer onqoy rikhurisqanta, celulaku- na mana wañunan tiempopi wanupuqtintaq Parkinson otaq Alzheimer onqoy rikhurisqanta. Chaymi investigashani chay on- qoykunapaq tratamientokunata tarinaypaq."
7	"¿lmaynan sientekurqanki chayta yachaspa? Iskayaqmi kani, nirganin: ""Kay- kunata ruwaqqa qhali kanan- chistachá munarqan"", nispa. Ichaqa tapukuqmi kani: Chhay- naqa, ¿imaraykun runakuna ñak'arinku wañunkupas?"" nis- pa. Manan maypipas nitaq pi- pas kutichiyta atiwaqchu. ¿lskayarqankichu celulakuna tiemponpi wañunanpaq ruwasqa kasqanmanta? Manan, cuerpopi celulakuna imayna funcionasqanta yachas- qaywanqa anchatan admirakur- qani. Sumaq funcionasqanmi ri- kuchiwarqan ancha allin ya- chaywan ruwasqa kasqanta. Chaypiqa Diospa yachayninmi kashan. Ñoqaqa celulakunata qhawanapaq ancha allin maqui- nakunawanmi estudiani celula- kuna imayna funcionasqanta yachanaypaq. Chaypin rikurqani imayna funcionasqanman hina iskay kinsa segundollapi qon- qaylla celulakuna wanupusqan- ta. Celulakunaqa kikillanku- mantan wanupunku. ¡Chhayna sumaqta funcionananpaq ru- wasqa kasqanqa ancha admira- kunapaqmi! ¿lmaynatan Diosmanta ñak'ariymantapas tapukus- qaykiman sut'inchayta tarirqanki? 1991 watapin iskay Testigoku- na wasiyta hamurqanku, chay- mi tapurqani imarayku runaku- na wañusqanmanta. Paykunan Romanos 5:12 textopi nisqan- Celulanchiskuna wañuqtin rantinpi hukkuna rikhurimusqanmi rikuchin runakuna wiñaypaq kamasqa kasqanchista wan kutichiwarqanku, chaypin nin: ""Imaynan huk runallawan huchaqa kay pachapi qallarir- qan, huchawantaq wañuypas rikhurirqan"", nispa. Sichus ñawpaq runa Diosta kasukun- man karqan chayqa wiñaypaq- mi kawsankuman karqan. Chayta uyarispan repararqani chay willawasqan investigas- qaywan tupasqanta. Reparar- qanin runakunaqa mana wañu- nanpaqchu kamasqa kasqan- ta. Celulanchiskuna wañuqtin chaykunaq rantinpi hukkuna ri- khurimusqanmi rikuchin runa- kuna wiñaypaq kamasqa kas- qanchista. ¿lman yanaparqasunki Bibliata Diospa Siminta hinapuni qhawarinaykipaq? Salmo 139:16 textopi nisqan- mi, chaypin nin: ""Wiksallapiraq kashaqtiymi rikuwarqankiña. ... Imaynachus kawsayniy kas- qanmi qelqaykipi qelqasqaña karqan"", nispa. Bioquímica kas- qayraykun imayna kawsay kas- qanmanta celulakunapi qelqas- qata estudiani. Ichaqa tapukuq- mi kani: ""¿lmaynapin salmista yacharqan celulakunapi chay- kuna qelqasqa kasqanta?"" nis- pa. Chaymi Bibliata estudiaspa astawan repararqani Bibliaqa Diospa yuyaychasqanpuni kas- qanta. ¿lmaynapin Bibliamanta astawan yacharqanki? Huk Testigon estudiota qo- warqan. Chaypin yacharqani imaraykun Dios hinallata qha- wan ñak'ariyta. Yacharqanin, Bi- bliaq nisqan hina Diosqa wiñay- paq wañuytapas chinkachinan- ta' (Isaías 25:8). Kamaqninchis- paqqa manan sasachu kanqa cuerponchis ukhupi tukuy ima- tapas allinta funcionachinan- paq, chhaynapi wiñaypaq kusis- qa kawsananchispaq. ¿lmaynatan hukkunata yanaparqanki Bibliamanta yachasqaykiwan? 1995 watapin Jehová Diospa testigon kapurqani. Chayman- tapachan kallpachakuni Biblia- pi yachasqayta runakunaman yachachinaypaq. Huk llank'aq- masiymi sinchi llakisqapuni ka- sharqan turan kikillan wañu- chikapusqanmanta. Iglesian- pin yachachinku wañuchikuqta- qa manapuni Dios pampachas- qanta. Chaymi Bibliawan ya- chachirqani wanupuqkuna kawsarimpunanmanta (Juan 5:28, 29). Anchatan kusikuni Dios ñoqanchispi interesakus- qanta yachaspa. Runakunata chhaynata yanapaspan asta- wan kusikuni ciencia nisqapi tukuy yachasqaymantaqa.  ¡Rikch'ariy! Enero - Febrero 2013 7"
8	QALLARIYPI KAQ Wawaykita yachachiy hukkunapi interesakuyta APA p'unchaymi hukkunapaq allinku- nata ruwayta atisunman, ichaqa as- kha runakunan paykunallapi yuyaykunku. Chaytan sapa p'unchay rikuchinku: hukku- nata engañaspa suwasqankupi, carronku- ta comunta manejasqankupi, qhelli simi- kuna rimasqankupi, usqhaylla phiñakus- qankupi ima. Familia ukhupipas kanmi paykunallapi yuyaykuq runakuna. Wakinqa aswan allin qharita otaq warmita munapayaspan t'a- qakapunku. Hinaspapas kikin tayta-ma- makunan mana reparakuspa wawanku- man yachachinku paykunallapi yuyaykuq kayta. ¿lmaynatan chayta ruwanku? Tu- kuy munasqankuta qospa, mana allin ru- wasqankumanta mana wanachispa ima. Wakin tayta-mamakunan ichaqa wa- wankuman yachachinku hukkunapi inte- resakuyta, chaytan kasukuq wawakuna ruwashanku. Hukkunapi interesakuq wa- wakunaqa askha amigokunayoqmi kanku allintataqmi hukkunawan kawsankupas. Hinaspapas aswan kusisqan kawsanku, Bibliapunin nin: Aswan kusisamiyoqqa qoqmi chaskiqmantaqa, nispa (Hechos 20:35). Tayta-mama, ¿imaynatan wawaykita ya- napawaq hukkunapi interesakunanpaq, payllapi yuyaykuq runakunawan mana sa- maykachikunanpaqpas? Chaypaq qhawa- risun kinsa mana allin costumbrekuna- manta, chaykunaman mana urmanapaq yanapaykunamantawan.
9	"1 Sinchita alabaqtiyki Sasachakuy. Investigaqkunan kayta repararqanku: Ilank'anaman chayllaraq haykuq askha wayna-sipaskunan pisita otaq mana imatapas ruwashaspa tukuy imapas allinkama kananpi yuyaykunku. Wakintaq imachus ruwanankuta manaraq allinta yachashaspa huk allin cargotaña chaskiyta munanku. Hukkunataq ancha allinpaq qhawarikunku, chaymi munanku hukkunapas chhayna qhawarinanta, común runata hinalla qhawariqtinkutaq pisikallpayapunku. Imaynapi paqarin. Chayqa hamun imayna uywasqa kasqankumantan. Ura watakunallan rikhurimurqan kikinkuta allinpaq qhawarikuyta yachachiq t'aqa- kuna, paykunatan askha tayta-mamaku- na qatikushanku. Chay t'aqakunan kayta yachachinku: pisillapi wawata sumaqta ri- mapayasqaykiwan allinpaq qhawarikun chayqa, sapa kutilla rimapayasqaykiwan- qa aswan allinpaqmi qhawarikunqa. Ima ruwasqantapas mana allinpaq qhawarinki chayqa pisichasqan sientekungaku. Chay- ta ruwaqqa manas allintachu tayta-mama kasqanta hunt'ashanman. Wawataqa ma- nas hayk'aqpas pisipaq sientechinachu, chaytan tayta-mamakunaman yacha- chiqku. Askha tayta-mamakunan wawankuta yanqamanta alabayta qallarirqanku. Ima- llatapas ruwayrusqankumantan fiestata- raq ruwaqku, huchallirukuqtinkutaq lliwta pampachaqku. Chay tayta-mamakunan yuyaykuqku wawanku allinpaq qhawariku- nankupaqqa tukuy pantasqankuta pam- pachananku kasqanta tukuy ruwasqan- kutataq alabananku kasqanta. Wawanku kusikuyta tarinankupaq allinkuna ruwayta yachachinankumantaqa allin sientekuna- llankupin yuyaykuqku. Biblian yachachin. Biblian willan pita- pas allin ruwasqanmanta alabay allin kas- qanta (Mateo 25:19-21). Ichaqa allin sien- tekunanraykulla wawata alabaqtinkuqa hatunchakuytan qallarinman. Biblian nin: ""Pipas mana imapas kashaspa aswan allin kasqanta yuyan chayqa, pay kikintan q'otukun"", nispa (Gálatas 6:3). Chaymi tayta-mamata nin: ""Wawachus wanachi- napaq kaqtinqa, payta wanachiy"", nispa (Proverbios 23:13). Kaytan ruwawaq. Wawayki ima mana allintapas ruwaqtinqa wanachiy, allinku- nata ruwaqtintaq alabay. Ichaqa aman sapa rato kusisqa sientekunanraykullaqa alabankichu. Chayqa manan imapipas ya- napanqachu. Huk libron nin: ""Allin con- fianzata hap'inapaqqa imapas ruway atis- qaykitan ruwanayki, huk ruwaykunatan ya- chanayki, manan kawsasqaykiraykullachu pipas alabanasuyki, nispa (Kay tiempopi wawakunaqa paykunallapi yuyaykunku, in- glés simipi).  Bibliaqa manan yachachinchu wawakuna maqayta ni- taq unphuyanankama phiñakuyta (Efesios 4:29, 31; 6:4). Wanachiyqa yachachinapaqmi, manataqmi phiñakuyniyki- ta wawaykipi thasnuykachinaykipaqchu wanachinayki. ""Ama pipas aswan allinpuni kasqanta yuyakuchunchu, aswanpas pay kikin imaynachus kasqallanta yuyakuchun."" (Romanos 12:3) ¡Rikch'ariy! Enero - Febrero 2013 9"
10	"2 Nishuta cuidaqtiyki Sasachakuy. Llank'anaman chayllaraq haykuq wakin wayna-sipaskunan mana preparasqachu kanku sasachakuykunata atipanankupaq. Wakinmi mana ima niyku- na kanku, wakintaq munasqankuman hina llank'anakunallata maskhanku. Jo- seph Allen psicologon huk waynata llan- K'ananpaq tapusqa, waynataq nisqa: Ya- qachus hina aburrikunapaq kay llank'ana kanqa, ñoqaqa manan chhayna llank'ana- taqa munaymanchu"", nispa. Chaymi psi- cólogo nirqan: ""Chay waynaqa manachus hina entienderqanchu llapa Ilank'anapi imallapas aburrikunapaq kasqanta. ¿lmaynapin huk wayna 23 watayoq ka- nankama mana chayta yachanmanchu?"", nispa (¿Imatan ruwayman kurak runata hina tratawanankupaq?, inglés simipi). Imaynapi paqarin. Askha tayta-ma- makunan mana munankuchu wawanku ima sasachakuypipas rikukunankuta. Exa- menpi mana allin notata horqomuqtinkun tayta-mamanku profesorwan rimaq rinku allin notata churananpaq. Carrota comun- ta manejasqankumanta papeletata chura- chikuqtinkun tayta-mamanku rispa multa- ta pagamunku. Parlaqmasin saqepuqtin- taq parlaqmasinta tukuymanta tumpanku. ""Sapanka pay kikinpa kawsasqanta allinta qhawakuchun, hinaspa ... chayllawan kusikuchun. (Gálatas 6:4) Allinmi tayta-mamakuna wawankuta cui- day munasqanku, ichaqa sinchita ima- mantapas cuidayta munanqaku chayqa wawankun ima ruwasqankutapas hinata qhawarparinqaku. Disciplina positiva para adolescentes nisqa libron nin: ""Ima sasa- chakuytapas ima nanaytapas aguantayta yachanankumantaqa otaq allinkuna ru- wayta yachanankumantaqa, paykunallapi sinchita yuyaykuspan wiñanqaku, tayta- mamankupas llapa runakunapas paykuna- wan manu kashankuman hina"", nispa. Biblian yachachin. Kay tiempopiqa lla- papaqmi sasachakuykuna kan. Bibliapu- nin willan 'sapanka imaynapipas rikuku- nanta' (Eclesiastés 9:11). Apóstol Pablo- pas Diosta servispan imaymana sasacha- kuykunapi tarikurqan. Ichaqa allinninpaq- mi karqan, chaymi pay kikin nirgan: ""No- qaqa yachanin imaynapiña kaspapas ku- sisqallapuni kawsayta. ... yachasqan kani: saksasqa kaspapas, yarqasqa kas- papas, askha kawsayniyoq kaspapas, pisi kawsayniyoq kaspapas"", nispa (Filipenses. 4:11, 12). Kaytan ruwawaq. Wawaykikunaq wiñas- qanman hinan yachachiwaq 'sapankanku ... q'epinkuta apakunankupaq' (Gálatas 6:5, Mosoq Rimanakuy). Carrota comunta manejasqanmanta papeletata churachika- mun chayqa pay kikinmi qolqenwan paga- munan. Examenpi mana allin notata hor- qomuqtinqa pay kikinmi kallpachakunan aswan allinta estudiananpaq. Parlaqmasin saqepun chayqa kallpachay, ichaqa yana- pay kay hina tapuykunapi yuyaymananan- paq: ¿Ñoqapi mana allin ruwayta rikuspa- chu saqepuwan?"" nispa. Sasachakuynin- kuta paykuna kikinkumanta allichaq way- na-sipaskunan allin takyasqa kapunku ma- nataqmi iskayankuchu imata ruwananku- paqpas, sichus tayta-mama tukuypi yana- panqa chayqa manan chaykunata yachan- qakuchu. Familiapaq huk yanapaykunata maskhay www.jw.orges"
