pagina	texto
1	QHAWAQ JEHOVÁ DIOSPA GOBIERNONMANTA WILLASHAN 2022, NÚMERO 1 CHEQNINAKUYTA CHINKACHISUN
2	"KAYKUNAMANTA YACHASUN 3 ¡Atisunmanmi chinkachiyta! 4 ¿lmaraykun sinchi cheqninakuy kan? 6 ¿lmaynatan cheqninakuyta chinkachisunman? Ama pimanpas sayapakuychu Ama vengakuychu Cheqnipakuyta sonqoykimanta orqoy Diospa yanapayninta mañakuy 14 ¡Wiñaypaqmi chinkapunqa! 16 Tukuy ladopin cheqninakuyqa kashan QHAWAQ JEHOVÁ DIOSPA GOBIERNONMANTA WILLASHAN Vol. 143, núm. 5 2022 QUECHUA (CUZCO) Sapa kutin ruwakun yaqa: 36.300.000 revistakunata 419 RIMAYKUNAPIN kashan KAY Qhawaq revistaqa Jehová Diostan jatunchan. Willanmi janaq pachapi Diospa gobiernon pisi tiempollamanta kay pachapi millay kausayta chinkachinanta, pachantin- ta paraisoman tukuchinantawan, chayqa kusikunapaqmi. Chaymantapas, kay revis- taqa runakunatan yanapan chay gobierno- pi kamachikuq rey Jesucristopi iñinanku- paq, paymi noqanchisrayku wañuran wiñay kausayman aypananchispaq. Kay revistata- qa 1879 watamantapachan ruwakushan manan politicawan chaqrukunchu, aswan- pas Bibliaq nisqallantan yachachin. Qhawaq (mayo y junio de 2022) es una publicación editada en Perú por la Asociación de los Testigos de Jehová, Jirón El Cortijo 329, Monterrico Chico-Santiago de Surco, Lima 33, Lima-Perú. 2022 Watch Tower Bible and Tract Society of Pennsylvania. Kay pachapiqa tukuy ladopin cheqninakuyqa kashallanpuni. Runamasinkuta cheqnikuspan wakinqa jujkunata pisichanku, maqanku, juj millay ruwaykunatapas ruwanku. ¿Jayk'aqllapas mana cheqninakuspa kausasunmanchu? Bibliapiqa rimashanmi chay tapuymanta, chaypi nisqanqa yanapasunkimanmi runama- siykita amaña cheqnikunaykipaq, chaymantapas willashanmi pisi tiempollamanta Diosninchis wiñaypaq cheqninakuyta chinkachinanmanta. PERÚ nacionpi: Asociación de los Testigos de Jehová Jr. El Cortijo 329, Monterrico Chico Santiago de Surco, Lima 33 Lima-Perú Juj nacionkunapi direccionta yachanaykipaq, maskhay www.jw.orgquzwaqyamuwayku. JW .ORG  ¿Munawaqchu pipas Bibliamanta yachachinasuykita? Chaypaq jaykuy www.jw.orgquz nisqaman otaq qelqay wichaypi kaq direccionman. Kay qelqataqa donacionkunawanmi ruwakun Bibliamanta mundontinpi yachachinapaq. Manan vendenapaqchu. Donacionta churayta munaspaqa jaykuy donate.jw.org nisqaman. donate.jw.org. Kay revistapi ""griego rimay nisqa textokunaqa Mosoq Pachaq Biblian, Diospa Palabran nisqa Bibliamantan orqosqa kashan; hebreo rimay"" nisqa textokunataq Diospa Simin Qelqa, edición 2004 Bibliamanta, ortografiatan ichaqa noqayku cambiamuyku."
3	¡Atisunmanmi chinkachiyta! ¿Jayk'aqllapas jujkuna cheqnikurasunkikuchu? Rikuranchischá runakunaq cheqninakusqanta- qa. Sapa kutillanmi noticiakunapi uyarinchis askha runakuna waj llaqtayoqkunata, warmiku- nata, qharikunata, juj colorniyoqtapas cheqni- kusqankuta. Chaymi askha nacionkunapi leykunata churanku runamasinkuta ama cheqni- kunankupaq. Jujkunata cheqnikuqtaqa yaqaspachá payta- pas jujkuna cheqnikuranku, chhaynapin cheqni- nakuyqa tukuy ladopi mast'arikun. Yaqapaschá qanmanta mana allinta rimaran- ku, burlakuranku, otaq amenazarasunkikupas. Jujkunata cheqnikuymi ichaqa aswan millaraq. Runamasinta cheqnikuqqa cheqnikusqan runa- tan maqanman, wañuchinman, violanman otaq juj millakunatapas ruwanman. Kay qelqapin willashan imatas ruwasunman jujkunata amaña cheqnikunapaq, kay tapuykuna- mantapas rimashanmi: ¿lmaraykun sinchi cheqninakuy kan?  ¿lmaynatan cheqninakuyta chinkachisunman? ¿Jayk'aqllapas chinkanqachu cheqninakuy? QHAWAQ 2022, NÚMERO 1 3
4	"4 ¿Imaraykun sinchi cheqninakuy kan? ¿lman jujkunata cheqnikuy? ¿lmaraykun runamasinkuta cheqnikunku? ¿lmaraykun jujkunata cheqnikuy tukuy ladopi kashan? Chay tapuykunamantan kaypi yachasun. ¿lman jujkunata cheqnikuy? Runamasinta cheqnikuqqa nishutan cheqnikusqan runata pisichan, manan rikuytapas atinchu. Chaymantapas unaymi chayqa sonqollanpi kashan. ¿IMARAYKUN RUNAMASINKUTA CHEQNIKUNKU? Imaymanan runakunataqa tanqan jujku- nata cheqnikunanpaq. Wakinqa jujkunatan cheqnikunku waj familiamanta waj llaqta- manta kasqankurayku. Chaymantapas wakin- qa millay runapaqmi paykunata qhawarinku, otaq ninku: ""Chaykunaqa manan cambian- kumanchu"", nispa. Wakintaq ninku: ""Pay- kunaq kausanpin imaymana llakipi tariku- shanchis"", nispa. Chaymantapas wakinqa jujkunatan cheqnikunku chay runakuna pay- kunata mana allinkunata ruwasqanrayku. ¿IMARAYKUN CHEQNINAKUY KAN? Wakinqa mana reqsisqanku runakunatapas cheqnikunkun. Paykunaqa jujkunaq mana allin rimasqanta kasuspan jujkunata cheq- nikuyta qallarinku. Chhaynapin runamasita cheqnikuyqa tukuy ladopi mast'arikun. Rikusqanchis jina, jujkunata cheqnikuyqa ratullan tukuy ladopi mast'arikunman. Icha- qa runamasinchista amaña cheqnikunapaq- qa yachananchismi imachus jujkunata cheq- nikuyman tanqasqanta. Bibliapin chaymanta rimashan. QHAWAQ 2022, NÚMERO 1"
5	LLULLAKUSPA RIMAQTINKU CHEQNIKUQQA Jujkunatan k'amin Jujkunatan pisichan Jujkunatan maqan Mana allin amigokuna Redes sociales nisqapi Noticiakunapi Imaynapin cheqnikuy qallarin MANA ALLINTA REQSISPA Waj Ilaqtayoqkunata Waj colorniyoqkunata Waj religionniyoq kunata MANCHAKUQTINCHIS Imapas cambiananta Imanchispas chinkapunanta Ima mana allinpas pasananta ¿IMAN RUNAKUNATA TANQAN CHEQNINAKUYMAN? MANAN RUNACHU CHEQNINAKUYTAQA QA- LLARICHIRAN. Jujkunata cheqnikuyqa ja- naq pachapin qallariran, juj angelmi Diospa contranpi jatariran, paytan Satanás suti- wan reqsikun. Diospa contranpi jatarispan runa wañuchiqman tukupuran. Bibliapin wi- llan Satanasqa llullakuspa rimasqanta, pay- mi jujkunata tanqashallan cheqninakuyman, millaykunata ruwanankupaqpas (Juan 8:44; 1 Juan 3:11, 12). Chaymantapas willanmi mi- llaypuni kasqanta, sinchi phiñasqa kashas- qantapas (Job 2:7; Apocalipsis 12:9, 12, 17). JUCHAYOQ KASPAN JUJKUNATA CHEQNIKU- SUNMAN. Ñaupaq taytanchis Adanmi Sata- nás jina Diospa contranpi sayariran, pay- pa wawankuna kasqanchisraykun juchayoq kanchis (Romanos 5:12). Adanpa phiwi chu- rin Cainpas wayqen Abeltan wañuchiran pay- ta cheqnikusqanrayku (1 Juan 3:12). Runa- kunaqa khuyapayanchismi jujkunata, ichaqa juchayoq kasqanchisraykun askha runaku- na paykunallapi piensanku, envidiakuspataq jujkunata cheqnikunku (2 Timoteo 3:1-5). JUJKUNAPAQ PHIÑAKUY. Tukuy ladopin ru- nakunaqa millaykunata ruwashanku. Kay pa- chaqa Satanaspa makinpin kashan, chay- mi runakunaqa jujkunaq imayna kasqanwan phiñakunku, paykunata pisichanku, k'a- minku, juj millay ruwaykunatapas ruwanku (1 Juan 5:19). Bibliapiqa manan cheqninakuy qallarisqa- llanmantachu willan, willallantaqmi chinka- chisqa kanantapas. QHAWAQ 2022, NÚMERO 1 5
6	"6 ¿Imaynatan cheqninakuyta chinkachisunman? Bibliapin kashan Diospa yuyaykusqan, chaymi yanapawasun allin runa kananchispaq (Hebreos 4:12). Chaypi nisqanta kasukuspan askha runakuna manaña runamasinkuta cheqnikapunkuchu. Bibliapiqa kashanmi tawa sumaq yuyaychaykuna, chaykunamantan qatimuqpi yachasun. 1 AMA PIMANPAS SAYAPAKUYCHU Bibliapin nin: ""Allintan entiendeni Diosqa lliutapas igual-llata rikusqanta, payta manchakuspa allin kaqta ruwaq runakunataqa may nacionmantaña kanku chaypas sumaqta chaskisqantawan, nispa (HECHOS 10:34, 35). ¿Imatan chaywan nishan? Jehová Diosqa mayqen runata- pas chaskillanmi serviqnin kanan- paq, payqa manan ninchu: Kay runaqa waj llaqtamantan"", nis- paqa. Payqa imaynachus kasqan- chistan qhawamun, Bibliapin nin: ""Runallan rijch'aynintaqa qhawan, noqan ichaqa sonqonta qhawani"", nispa (1 Samuel 16:7). Kayta ruway: Manaña jujkunaq sonqonta qhawayta atisunmanchu chaypas, Jehová Dios jinan jujkunata igual-llata rikunan- chis. ""Chay runakunaqa chhaynapunin kanku"" ninanchis- mantaqa sapanka runatan allinta reqsinanchis. Sichus jujkunata mana allinpaq qhawarinki waj llaqtayoq kasqan- rayku chayqa, Diosmanta mañakuy ama chhaynata pien- sanaykipaq (Salmos 139:23, 24). Diosqa yanapasunkin amaña cheqnikunaykipaq (1 Pedro 3:12).  Jehová nisqan Diospa sutinqa (Salmos 83:18, Traducción del Nuevo Mundo). QHAWAQ 2022, NÚMERO 1"
7	"""Ñaupaqqa manan yuraq runakunawanqa rimaqchu kani. Chaypin yacharani Testigokuna- qa cheqaqtapuni muna- nakusqankuta"" (TITUS) TITUS runamanta yachasun Manañan jujkunata cheqnikuranchu Payqa ñaupaqpin juj grupopi juñukuran, chay runakunaqa phiñasqan kasharanku yana colorni- yoq runakunata llaqtankupi pisichasqankumanta. Paymi nin: ""Sapa kutillanmi rirayku yana colorniyoq runakunata mana chaskisqanku localkunata, chay- pi kaq runakunawan maqanakunaykupaq. Noqaqa nishutan jujkunata cheqnikurani, chaymi piwanpas discutispaqa maqallaqña kani, nispa. Paymi ichaqa Jehová Diospa testigonkunawan Bibliata estudiaspa cambiapuran. Bibliapin willa- shan jamuq tiempopi manaña wañuypas, llakikuy- pas, waqaypas, nanaypas kananta, chayta yachas- qanmi sonqonman chayaran (Apocalipsis 21: 3, 4). Qallariypiqa sasan karan jujkuna cheqnikuyta sonqonmanta orqoy. Paymi nin: ""Sasan karan imayna piensasqayta cambiayqa, ichaqa Hechos 10:34, 35 textopin willashan Diosqa lliuta igual- llata rikusqanta, chaymi yanapawaran cambianay- paq"", nispa. ¿lmaynan kunan kashan? Paymi nin: ""Rikuranin Jehová Diospa testigonkunaqa may llaqtamanta- ňa kaspapas cheqaqtapuni munanakusqankuta, Bibliaq nisqanman jina kausasqankutapas. Mana- raq bautizakushaqtiymi yuraq colorniyoq hermano wasinpi mijunaykupaq invitawaran. Chayqa mos- qoy jinan noqapaqqa karan, ñaupaqqa manan yu- raq runakunawanqa rimaqchu kani. Chaypin ya- charani Testigokunaqa cheqaqtapuni munanakus- qankuta"", nispa. QHAWAQ 2022, NÚMERO 1 Titus sutiyoq runamanta astawan yachanaykipaq leey 2009 watamanta 1 agosto killamanta La Atalaya revistapi 28, 29 paginakunata, chayqa jw.org nisqapin kashan. 7"
8	"8 2 AMA VENGAKUYCHU Bibliapin nin: ""Ama pimanpas mana allinmantaqa mana allin- Ilawantaq kutichiychischu .... Ama qankuna kikiykichisqa vengakuychischu .... Simin qelqa- pipas ninmi: Noqamanmi tupawan vengakuyqa, noqañan kutichipusaq ninmi Jehová Diosqa"", nispa (ROMANOS 12:17-19). ¿lmatan chaywan nishan? Pipas mana allinta ruwawaqtinchisqa phi- ñakunchismi, Diosmi ichaqa niwanchis ama vengakunanchispaq. Payqa pisi tiempolla- mantan tukuy mana allin ruwayta chinka- chipunqa, chaymi munan pacienciawan aguantananchista (Salmos 37:7, 10). Vengakuspaqa kikillanchis- taqmi dañota ruwakusun QHAWAQ 2022, NÚMERO 1"
9	"Kayta ruway: Jujkunamanta vengakuspaqa astawanmil jujkunawan cheqninakusun. Chay jinaqa, pipas mana allinta ruwarasunki chayqa ama vengakuychu, aswanpas sumaqllata rimapayay. Mayninpiqa chay ruwawas- qanchista qonqapuymi aswan allinqa kanman (Proverbios 19:11). Mayninpin ichaqa allin kanman autoridadkunaman chayta willay. Yaqapaschá denunciata churasunman policiakuna otaq juezkuna encargakunankupaq. Ichaqa, ¿imatan ruwawaq ima sasa- chaytapas sumaqllata allichanaykipaq tukuy atisqaykitaña ruwashaqtiykipas mana allichakuyta atikuqtin? Chhaynapi tarikuspapas manan vengakunaykichu, vengakuspaqa aswan llakipin tarikuwaq. Diosqa tiempollanpin chayta allichanqa, chaymi Diospi confianayki. Salmos 37:3-5 textopin nin: ""Payman jap'ipaykukuy, pay- taqmi yanapaykusunki, nispa. ADRIÁN runamanta yachasun Manañan jujkunamanta vengakuranchu Waynallaraq kashaspan payqa juj grupopi karan, chay runakunaqa nishutan jujkunata cheqnikuran- ku. Paymi nin: ""Sapa kutillanmi jujkunawan maqa- nakuspa baleanakurayku, jinan askha kutipi yawar sut'ushaq callepi wijch'urayarani"", nispa. Ichaqa 16 watanpi kashaspan Adrianqa Bibliata estudiaran. Paymi nin: ""Bibliata estudias- pan repararani cambianay kasqanta"", nispa. Pay- qa yacharanmi jujkunata cheqnikuypas maqaypas mana allin kasqanta. Romanos 12:17-19 textopi nisqanmi yanaparan amaña vengakunanpaq. Pay- mi nin: ""Chay textota leespan yacharani Jehová Diosqa tiempollanpi mana allin ruwaykunata chin- kachipunanta. Chayta yachaymi yanapawaran pisi-pisimanta cambianaypaq"", nispa. Juj tutan naupaqpi enemigonkuna payta ma- qaranku. Chay grupomanta jefetaq payta niran: ""¡Qhari kanki chayqa defiendekuy!"", nispa. Adrian- qa maqanakuytan munaran, ichaqa chay ratupin Jehová Diosmanta mañakuran, jinan paykuna- manta ayqekuyta atiran. Adrianmi nillantaq: ""Paqaristinmi chay grupo- manta jefewan callepi tuparayku. Noqaqa ven- gakuytan munasharani. Ichaqa jujmantan Dios- manta mañakurani, chaymi sonqoyqa tiyaykuran. Chayllamanmi payqa niwaran: ""Perdonaway qay- na tuta maqasqaymanta, maytan munayman qan jina kayta, Bibliamanta yachachiway"", nispa. Adrianpa mana vengakusqanraykun chay wayna- pas Biblia estudiayta qallariran. QHAWAQ 2022, NÚMERO 1 Adrianmanta astawan yachanaykipaq leey 2016 watamanta Qhawaq revistapi 5 numerota 14, 15 paginakunata, chayqa jw.org nisqapin kashan."
10	"10 3 CHEQNIPAKUYTA SONQOYKIMANTA ORQOY Bibliapin nin: ""Yuyayniykichista mosoqyachiychis ..., chhay- napin allinta yachankichis Diospa munayninqa allinpuni, junt'asqa puni, sonqonpaq jinapuni kasqanta"", nispa (ROMANOS 12:2). ¿Imatan chaywan nishan? Diosqa yachanmi imachus piensas- qanchista (Jeremías 17:10). Chaymi qhawarinanchis rimasqanchispas ruwasqanchispas allinchus kashan manachus chayta. Yachasqanchis jina jujkunata cheqnikuyqa sonqon- chismantan lloqsimun, chaymi tukuy atisqanchista ruwananchis mana allin piensaykunata uman- chismanta orqonanchispaq. Chayta ruwaspallan manaña jujkunata cheqnikusunchu. Kayta ruway: Allinta reparay imaynatachus waj llaqtayoqkunata qhawarisqaykita. Jinaspa tapukuy: ""¿Cheqnikunichu paykunata? ¿Jujkunaq rimasqanta uyarispallachu mi- Ilay runapaq qhawarini, icha kallpachakunichu allinta reqsinaypaq?, nispa. Wakin peliculakunapas jujkuna- pas jujkunata cheqnikunanchispaqmi tanqawasun- man, chaymi chaykunataqa mana qhawananchischu. Imayna piensashasqanchista reparakuyqa sasan. Biblian ichaqa sonqoq ima munasqantapas ima pien- sasqantapas allinta reparan"" (Hebreos 4:12). Chaymi imayna piensasqanchista Bibliaq nisqanwan tupana- chinanchis. Jinaspa kallpachakunanchis Bibliapi ya- chasqanchisman jina piensananchispaq. Diospa nis- qanta kasukusun chayqa, atisunmi sonqonchismanta ima mana allin piensaytapas wijch'uyta, jujninmi kan- man jujkunata cheqnikuy (2 Corintios 10:4, 5). QHAWAQ 2022, NÚMERO 1"
