Documento,N° Oraciones,Palabras Totales,Palabras Únicas,Idioma
g_S_201301.tsv,266,5629,2484,esp
g_S_201302.tsv,272,5828,2657,esp
g_S_201304.tsv,268,5181,2372,esp
g_S_201305.tsv,288,5877,2726,esp
g_S_201308.tsv,278,5967,2704,esp
g_S_201310.tsv,232,5230,2336,esp
g_S_201311.tsv,293,5914,2563,esp
g_S_201401.tsv,181,4497,2111,esp
g_S_201406.tsv,244,5050,2328,esp
g_S_201407.tsv,241,5335,2417,esp
g_S_201412.tsv,237,4842,2295,esp
g_S_201504.tsv,265,5255,2290,esp
g_S_201505.tsv,271,5880,2599,esp
g_S_201507.tsv,280,4992,2277,esp
g_S_201509.tsv,250,5260,2370,esp
g_S_201604.tsv,277,5586,2534,esp
g_S_201606.tsv,268,6133,2693,esp
g_S_201608.tsv,252,5367,2317,esp
g_S_202411.tsv,138,3077,1356,esp
w_S_202501.tsv,503,12077,3678,esp
wp_S_20110901.tsv,615,14679,5804,esp
wp_S_20120301.tsv,625,14223,5329,esp
wp_S_20120501.tsv,585,12260,4666,esp
wp_S_20120901.tsv,625,13241,4997,esp
wp_S_20130101.tsv,324,6755,2755,esp
wp_S_20130201.tsv,319,7226,2932,esp
wp_S_20130301.tsv,321,6716,2689,esp
wp_S_20130501.tsv,294,6213,2500,esp
wp_S_20130801.tsv,324,6667,2841,esp
wp_S_20130901.tsv,307,6624,2881,esp
wp_S_20140101.tsv,320,6076,2478,esp
wp_S_20140401.tsv,280,6004,2628,esp
wp_S_20140501.tsv,337,6581,2662,esp
wp_S_20140801.tsv,314,6511,2635,esp
wp_S_20141001.tsv,338,6181,2318,esp
wp_S_20141101.tsv,339,6452,2513,esp
wp_S_20150301.tsv,302,6761,2760,esp
wp_S_20150401.tsv,360,6125,2496,esp
wp_S_20150501.tsv,345,7103,2793,esp
wp_S_20150701.tsv,324,6114,2561,esp
wp_S_20150901.tsv,311,7068,2974,esp
wp_S_201603.tsv,305,6905,2778,esp
wp_S_201605.tsv,379,7227,2874,esp
wp_S_201607.tsv,336,7251,3037,esp
wp_S_201609.tsv,374,6968,2854,esp
wp_S_201611.tsv,339,7112,3020,esp
wp_S_201701.tsv,399,7456,2869,esp
wp_S_201703.tsv,323,6710,2651,esp
wp_S_201705.tsv,345,6843,2751,esp
wp_S_201707.tsv,320,6759,2841,esp
wp_S_201709.tsv,360,7046,2744,esp
wp_S_201711.tsv,332,7109,2780,esp
wp_S_201801.tsv,306,6403,2634,esp
